Text,Toxic
"Give us Pharrell Williams and others of his caliber . Now that would really rock . Or Lightening BOLT , the Olympic winner ! We want talent not trash .",0
"There has been polling on this , and support among Canadians for assisted suicide exceeds 80 . Sadly , some folk choose to end their lives early , while they still can , rather than be stuck without it once they can no longer do it for themselves . So , ironically , the opponents are actually expediting some deaths . Research has also shown that lots of people , once they get approval , actually choose not to go through with it . But just knowing the option was available gave them peace of mind .",0
"Even with all the protective gear you wear , StephBand , it wo n't protect you against an inattentive driver , especially the hit and run drivers .",0
This is a great article . I suggest making friends with the people of the First Nations . I did years ago and was able to spend time living on a reserve in Southern Ontario . That experience held me in good stead when I went to China to live for twenty years . Exposure to another culture in a spirit of service to humanity unveils unknown aspects of one 's character and thus engenders a personal transformation .,0
"More environmental destruction . I ca n't understand why so many nasty , brain dead are bent on destroying natural beauty . It makes me sick !",1
"The men and women of our military are committed and as they have shown in the past are among the best not withstanding having been let down by the self aggrandisement of the Minister of Defence . What they do not have is the best equipment whether it is supposed to fly , drive , float or shoot ! They are seriously handicapped and the politics at play especially with fighter jets treats them with contempt . Now for all Ms Freeland 's well intentioned words a speech would have been better than reading documents in the House where is the show of strength , where is the back up , that can be counted on . We are small in many ways but have in the past punched above our weight . With the current ringmasters I fear we will be left singing in the wind , serenaded by platitudes . I doubt the latest primped foray by Mr Trudeau into the airwaves of the USA from the border at Niagara Falls is quite what Ms Freeland 's remit needed .",0
Maybe thats why its heartwarming . Joe sells batteries .,0
The Ontario and federal governments will contribute 102.4million each to help finance the projects . Stopped reading when I read that part,0
"To the Liberals , there is no conflict . Their idea of innovation is government funded i.e. , the government will pick a winner and pump huge amount of taxpayer and future taxpayer money into it . You know , Liberals are omnipotent .",0
"No wonder Ronald Reagan , Jr. is an avowed atheist and leftwing progressive . He saw what happened upclose .",1
"Trump set out to make his new world , his new garden of Eden , in a very short time . He has surrounded himself with pretty boys and family angels . He is going to cast all illegal migrants into his type of hell . He is going to save all those in the rust belt . Now he is going to forgive sin . He really does think that he is God . But he is just the President of Nothing",0
The voice of traitors to the state who supported Ohio Dan and Drumpf,1
"What a bunch of sore losers ..... That Gloria , whatever her name is , said she was taking the 'High Road ..... Ha ! Sounds like Hillary ..... ! ! You Lost , Suck It Up ...... ! ! Ha !",0
"You are right Fred , those areas would be much better utilized as stripmalls and apartments . That 'll show the bears .",0
"I quoted Congar under my real name elsewhere and stated he was a Jesuit . Now I know he was a Dominican . He appeared , given the brief quote I referred to to have a progressive mindset and a refreshingly unpretentious intellect . It is nice to encounter confirmation of this view as fact .",0
I honestly do n't think I could learn Zumba and become certified ! It 's great that she persevered to make her dream come true . It really is a boost of confidence when you do something good and people show appreciation .,0
Golf tends to be played in gated parks denuded of humans . Great work Cathal and your editor . If you want to crap on Trump I 'm fine with that but its common knowledge that the vast majority of recreational golfers play public courses and have average incomes . Most of us are appalled when Trump employs lies to make a point . Cathal it appears that you 're no different than the man you mock . Sad and wrong .,1
"Im obviously humbled , Elway said . There have been a lot of great people who have won this award , and Pat was one of them , Peter Coors 2002 and Barry Hirschfeld 2015 . The list of awardees before me was tremendous . Thank you for not acknowledging Hick or Hancock winning the award . Those two clowns are an embarrassment .",0
"Apparently International Rule of Law , and Global 200Mile EEZ standard , is outside the grasp of these 50 folks .. I count a dozen clearly labeled as ChinaBot profiles liking this comment here ? It 's absurd , beyond words , to unilaterally claim an open ocean area 12 the size of Europe as sovereign territory .",0
I 'd love to see the video of the NRA handing that nut a rifle .,1
"I wondered , too , if there was simply miscommunication with his friends on when he would be back .",0
"They expect handouts . And more of them . Their lack of skills , lack of English and lack of interest in joining the rest of society is of value to them even if it rankles us . They will accuse us of Islamophobia of we object to their leeching off us .",1
"China wants to ban gas and diesel cars Sep. 11 , 2017 CNNMoney CNN.com money 20170911 news Sep 11 , 2017 China is preparing to put the brakes on gasoline and diesel cars . The country , home to the world 's largest auto market , is working on a plan to ban the production and sale of vehicles powered solely by fossil fuels , officials say . The Chinese government is following in the ... So why is this not making the local news ? ? China is the 2nd largest world economy and they are considering this . Mean while back in the good old US of A , our fool in charge is pushing us back to 1955 thinking and denying climate change does n't exist . Instead the new vogue is to vilify science .",1
"You 're misconstruing what I said . I said tattoos may be a distraction , I never said anything about making judgments , you said that . Nor did I say anything about character , again , that was you . You seem to be either the PC type or the judgmental type maybe both , and are prone to stereotyping . Are excons nicer and more compassionate just because they have a tattoo ?",0
"I never portrayed Islam as squeaky clean , and I never said that being weary is being hateful . I 'd appreciate it if you take what I say at face value and not load my statements with assumptions . I did say it 's bigoted , which is basically ignorance and intolerance of views you do not understand . My question to you is that if Islam is dangerous for these reasons then why is n't Christianity ? I can find bible versus where God himself orders the murdering of children . Do I assume that you serve a violent religion and I should be concerned about having you in my community ? The reasons you give me for why that is n't true apply to Islam as well . Your failure to understand that is what makes your views bigoted . You demand special pleading for your views , and then hold others to stronger scrutiny than you hold yourself . This is no justification , but you 'd be surprised how many young Muslim men list ignorance , racism , and bigotry like in this article as their reason for becoming radicalized .",1
"Alaskans put up 785,000,000 to help the Oil companies get our oil on the market , and the Oil companies give Alaskans 68,00,000 in return . Bad investment !",1
