Text,Toxic
"Lol You really are a pathetic litle cunt . Please , please make good on your threat to fuck off . I beg you .",1
"Black Liberation Theology Why is WIkipedia , on a macro level , going out of its way to baste up Palin 's religious information i.e . her church with being 'saved ' , creationism , speaking in tongues when Obama 's core of black liberation theology , and the term black liberation theology is left out completely ? On a micro level , I understand the common excuse well thats over THERE , and this is HERE . Thats a different article . But that excuse is PRECISELY THE POINT . When you use excuses like that to stuff wikipedia with bias you have a systemic problem on a macro level . I know many of you are involved in stuffing Palin while protecting Obama . How come the term black liberation theology is n't found in this article ?",0
"Thank you . First of all , if you 're going to get into amount of work I have the most edits on the article . Secondly , that should be completely disregarded please look at past discussions on this before making this change . It has been done before , and will be reverted again until further consensus develops . List of countries is really the central article , and if you want to add those constituent countries , then take it up THERE first , as it also uses countries in its title . talk",0
"Hey MasturbatorOfLiesOrBrainsickOpinions I see , such Idiots like you never give up ! Fortunately I know that you are not a Pole , but a f ... bastard who wants to destroy the reputation of every real Pole who has some intelligence !",1
Piss off you evil dwarf,1
"See the changes first , you piece of shit and do n't meddle into things that do n't concern you . All of the templates were placed to provoke . We do n't need a citation to prove that Twelvers are the majority current in Shia Islam just as we do n't need a citation to prove that the pope is the head of the Roman Catholic Church . We also do n't need a reference to prove that Iran is a Shi ' a country . This is a fucking widely known fact . Also , unless you did n't notice , a very large paragraph about Ismaili beliefs does not belong in the article . So , please , let me do my job and fuck off .",1
"Good job really , as you 're obviously an idiot .",1
What a cowardly Jew . lmfao . stick to picking on girls and women in the ghettos you and your Nazi faggot friends make out of functional civilisations .,1
DumbieBrainHead I AM EVIL ! ! ! MWAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA ! ! ! ! ! ! ! ! P.S . you stink !,1
"good luck with your struggle in wikipedia by forcing your bullshit on iranian articles to make afghanis part of the persian and iranian nation . about your delete that azeris and kurds are not iranians and your deleted it , no problem . but afghanis are iranians and persians if the iranians persians accept you . i dont know why afghans are obsessed by iran .",1
fuck off you bastard who do you think you are judas this guy kieron richardson he should be fucking dead have you seen what he 's done to that poor girl have you,1
"Israeli Apartheid Article How dare you identify a very clear and reasonable allegation of bias as vandalism . I 'm disgusted with your behaviour , and your willingness to suppress arguments that do n't mesh with your ideological foundation . Considering that the page I edited deals with human rights , I find it very salient that you are more than willing to suppress the freedom of expression by turning this site into a dictatorship of the obsessive over the intelligent . edit I noticed that you removed my statement quite quickly . Is there some explanation for succumbing to such cowardice and refusing to address me directly ? Preceding unsigned comment added by 138.40.153.43",1
"Hi Dawn , I dont know if you work for the PMO , or if youre just a political partisan , but defending Mike Duffy is beyond the pale . How do yhou sleep at night ? Fuck off , you can revert all you fucking want , it will be The Dishonourable until such time as Mike Duffy and Duffy ALONE pays back the 90,0000 owed",1
"2008 UTC CUBS SUCK BURN TAKE IT CHICAGO SUCKS GO EVERY OTHER METROPOLITAN AREA IN THE WORLD . 214.13.192.187 1243 , 17 November",1
"Webb and racial epithet It seems odd to include information about Webb 's possible use of a racial epithet on George Allen 's biography page . It more appropriately would belong on Webb 's page maybe with a brief mention on George Allen 's page . I understand the desire to add the opposing candidate 's view on the issue but that is why I think all of this should be moved to the 2006 Senate campaign page , but nobody seems to want to adopt that idea . Any other thoughts ?",0
"said he unblocked me early , but I 'm still unable to made edits .",0
PEOPLE ON THIS SITE SUCK PEOPLE ON THIS SITE SUCK,1
"Welcome ! Hello , Baysidemarine1 , and welcome to Wikipedia ! Thank you for your contributions . I hope you like the place and decide to stay . Here are some pages that you might find helpful The five pillars of Wikipedia Tutorial How to edit a page and How to develop articles How to create your first article using the Article Wizard if you wish Manual of Style I hope you enjoy editing here and being a Wikipedian ! Please sign your messages on discussion pages using four tildes this will automatically insert your username and the date . If you need help , check out WikipediaQuestions , ask me on my talk page , or ask your question on this page and then place help me before the question . Again , welcome ! talkEmail",0
"YOU PROMOTES RACISM , IT IS NOT VANDALISM . I AM CHECKING ALL YOUR CONTRIBUTIONS AND THE ARE DELETE ALL REFERENCES , PEOPLE WHO SPEAK SPANISH , INVESTIGATE FIRST . THIS USER PROMOTES RACISM ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! LIBSTAR PROMOTES DISCRIMATION , YOU CAN READ IN ALL HEHER CONTRIBUTIONS . STOP IT .",1
Oh sup I love you you fucking lesbo .,1
All my uploaded pdfdocuments have been used in references in a number of articles on Scientology organizations . You guys were quite efficient in deleting half of my uploaded documents . Thank you very much for your speedy deleting . Several hours of researching and uploading going down the drain . Could n't you just fucking wait another 24 hours ? ?,1
"Sent . Yes , I copied and pasted the quoted text . admin Pathoschild 13",0
I bet the only thing you like better than sucking cock is editing on fagopedia,1
"Yet you failed to notice your other error in reverting a perfectly acceptable and needed link correction . Just out of curiousity , how old are you ? Up past bedtime , getting sleepy and losing attention to detail , huh ? 71.10.138.114",1
"If that does n't work , you can keep posting daily updates of my activity to ANI .",0
"Listen Brah You are the rudest wiki nerd in this joint . I bet you 're sitting behind that computer in a chair that has the sweet impression of your ass that never moves from it . Are you wasting time till the next World of Warcraft is coming out ? Does mom care that you 're on here ruining lives for the rest of us fun loving wikipedia users ? Did the money your grandparents sent you in a singing card by the suped up fucktarded laptop you 're rocking ? Here 's some advice , take up Dance Dance Revolution and leave us awesome and normal people trying to make awesome Wiki pages alone . Bastard .",1
"My Block Firstly why were you so quick as to ban me ? The user at hand had used past information to build a case to ban me when I had learnt my lessons . he was in the wrong and yet you did n't even let me defend my case . How would I go about removing this ban from my history ? I only lost patiance with the user because he singles me out as a Muslim then uses that information to suggest I 'm censuring things . Is there any justice in that ? If you look at the history of the article mentioned Islamist demonstration then you would see my intentions were clearly constructive . I have had trouble with this user before , in WPANI he named me as a Muslim fanatic which I took out . I have been serving Wikipedia for nearly a year now while the user who was so quick to ban me has served little . He almost always reverts my edits in that article because I 'm a Muslim . Is this not discrimination ? Talk Contribs",0
"fuck you then , im done with this website .",1
